ÁöÁ¡,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),Æò±Õ Ç³¼Ó(m/s),Æò±Õ »ó´ë½Àµµ(%)
90,2015-01-01,-4.6,2.2,31.6
90,2015-01-02,-2.9,3.4,30.4
90,2015-01-03,1.1,2.5,32.5
90,2015-01-04,5.8,2.2,50.8
90,2015-01-05,7.3,2.4,45.8
90,2015-01-06,3.4,3,38.6
90,2015-01-07,-2.2,2.2,28.4
90,2015-01-08,-.5,1.5,30.9
90,2015-01-09,1.5,2.2,27
90,2015-01-10,3.1,2.8,35.1
90,2015-01-11,1.8,3.7,62.4
90,2015-01-12,-.2,1.5,40.5
90,2015-01-13,3.2,1.3,33.8
90,2015-01-14,4.8,2.1,46.9
90,2015-01-15,3.4,1.7,86.6
90,2015-01-16,2.9,2.8,63.6
90,2015-01-17,.8,2.2,32
90,2015-01-18,2.8,2.4,38.1
90,2015-01-19,3.4,2.8,46.6
90,2015-01-20,1.3,1.4,56
90,2015-01-21,2.4,1.6,75.3
90,2015-01-22,2.2,2.9,88.1
90,2015-01-23,2.8,1.8,60.5
90,2015-01-24,5.1,1.9,46.1
90,2015-01-25,3.5,1.9,75.6
90,2015-01-26,4.5,1.8,88.9
90,2015-01-27,.3,2.7,82.3
90,2015-01-28,-1.6,2,77.9
90,2015-01-29,.1,1.5,70.9
90,2015-01-30,1.1,3,39
90,2015-01-31,-1.9,2.2,56.5
90,2015-02-01,-.4,1.8,46.4
90,2015-02-02,.2,1.8,67.8
90,2015-02-03,1.1,1.7,81.4
90,2015-02-04,1.3,2.2,83.1
90,2015-02-05,.9,1.8,82.3
90,2015-02-06,3.2,1.6,49.3
90,2015-02-07,4.4,2.9,44.3
90,2015-02-08,-4.9,3.5,26.5
90,2015-02-09,-3.1,4.4,29.6
90,2015-02-10,3.6,4,43.1
90,2015-02-11,4.4,3,44.3
90,2015-02-12,.2,3.4,29
90,2015-02-13,1.1,3.1,26
90,2015-02-14,6,3.4,42.9
90,2015-02-15,6.5,1.7,72
90,2015-02-16,4,1.6,97
90,2015-02-17,2.3,2.7,95.3
90,2015-02-18,2.9,1.6,78.3
90,2015-02-19,1.2,1.5,94.6
90,2015-02-20,3.4,2,80
90,2015-02-21,3.5,1.4,89.6
90,2015-02-22,6.3,3,64.4
90,2015-02-23,4.8,4,37.3
90,2015-02-24,3.2,2,52.1
90,2015-02-25,4,1.8,70
90,2015-02-26,4.5,4,43.4
90,2015-02-27,-.6,2.5,41.6
90,2015-02-28,3.3,1.7,51.6
90,2015-03-01,5.3,3.2,41.8
90,2015-03-02,6.2,2,36
90,2015-03-03,5.4,1.7,58.1
90,2015-03-04,.4,5.3,34.8
90,2015-03-05,0,1.9,46.4
90,2015-03-06,1.6,1.5,71.6
90,2015-03-07,4.3,1.8,66.5
90,2015-03-08,5.4,1.2,70.4
90,2015-03-09,5.1,3.1,47.9
90,2015-03-10,-1.1,4.4,24.3
90,2015-03-11,2.2,4.9,31
90,2015-03-12,4,4,28.3
90,2015-03-13,4.2,2.2,51.1
90,2015-03-14,3.6,1.9,58.4
90,2015-03-15,7.2,1.9,54.4
90,2015-03-16,7,2,71.9
90,2015-03-17,11,2.4,53.6
90,2015-03-18,5.1,2.9,88.5
90,2015-03-19,6.2,1.6,79
90,2015-03-20,7.5,1.8,85.3
90,2015-03-21,10,1.8,69.9
90,2015-03-22,10.7,3.2,31.1
90,2015-03-23,5.2,4.2,33.3
90,2015-03-24,3.8,1.9,47.8
90,2015-03-25,4.1,1.4,70.6
90,2015-03-26,12.2,2.1,32.1
90,2015-03-27,15.8,2.7,26.3
90,2015-03-28,15.1,2.8,22.1
90,2015-03-29,11.2,2,59.3
90,2015-03-30,11.4,1.6,69.1
90,2015-03-31,14.4,2.1,64.3
90,2015-04-01,6.7,2.3,96.5
90,2015-04-02,6.3,2,97.8
90,2015-04-03,7.5,2.8,91.3
90,2015-04-04,6.7,1.4,83.6
90,2015-04-05,6.1,2,86.8
90,2015-04-06,6.6,1.6,92.5
90,2015-04-07,3.1,1.9,87
90,2015-04-08,4.5,1.7,96.5
90,2015-04-09,6,1.9,90.6
90,2015-04-10,9,2,65.8
90,2015-04-11,6.8,1.9,91.3
90,2015-04-12,6.3,2.5,100
90,2015-04-13,6.1,3.7,98.4
90,2015-04-14,6,1.4,94
90,2015-04-15,13.6,2.3,57.5
90,2015-04-16,11.2,3.7,65.1
90,2015-04-17,15.1,5,23.8
90,2015-04-18,16.1,2.8,29.6
90,2015-04-19,10.7,2.5,74.3
90,2015-04-20,8.1,2.3,95.9
90,2015-04-21,14.9,1.9,47.9
90,2015-04-22,15.4,2.6,36.5
90,2015-04-23,18.9,2.3,25.1
90,2015-04-24,15.8,2.5,31.4
90,2015-04-25,16.7,2.6,34.9
90,2015-04-26,25,5.3,27.3
90,2015-04-27,25.1,3.7,26.1
90,2015-04-28,17.6,2.3,42.1
90,2015-04-29,9.4,1.7,89.5
90,2015-04-30,10.6,1.9,95.6
90,2015-05-01,14,1.3,
90,2015-05-02,16,1.4,84.5
90,2015-05-03,16.2,1.3,99.4
90,2015-05-04,15.4,2.2,67.4
90,2015-05-05,19.1,2.6,25.4
90,2015-05-06,17.8,2.6,40.4
90,2015-05-07,13.3,2.5,68.6
90,2015-05-08,16.6,1.8,52.1
90,2015-05-09,13.4,2.6,73.8
90,2015-05-10,11,1.8,88.5
90,2015-05-11,11.6,1.5,91.4
90,2015-05-12,16.3,3.7,60.5
90,2015-05-13,22.9,4.8,34.3
90,2015-05-14,18.5,2.7,53.4
90,2015-05-15,11.2,2.7,91.6
90,2015-05-16,18.5,3.5,53.1
90,2015-05-17,21.1,2.3,28.8
90,2015-05-18,20.9,1.8,34
90,2015-05-19,19.2,3.4,54.1
90,2015-05-20,16.3,2.1,50.4
90,2015-05-21,24,3.6,31.1
90,2015-05-22,26.3,6,26.4
90,2015-05-23,23,2,34.9
90,2015-05-24,21.4,1.4,44.8
90,2015-05-25,19.2,1.9,56.5
90,2015-05-26,23.3,2,47
90,2015-05-27,15.2,2.4,91.9
90,2015-05-28,15.9,2,94.6
90,2015-05-29,19.3,1.3,78.4
90,2015-05-30,19,1.6,71.9
90,2015-05-31,17.4,2.2,85.4
90,2015-06-01,24.5,2.7,41
90,2015-06-02,21.7,1.7,54.9
90,2015-06-03,21.4,3.3,43.9
90,2015-06-04,22.8,2.7,40.8
90,2015-06-05,17.8,1.5,76
90,2015-06-06,17.2,2.2,78.8
90,2015-06-07,17.3,1.8,84.1
90,2015-06-08,18,1.6,83.5
90,2015-06-09,20.4,1.8,69.5
90,2015-06-10,22.3,2.5,61.8
90,2015-06-11,18.8,2,93.9
90,2015-06-12,16.9,3.5,95.4
90,2015-06-13,17.1,1.6,96.9
90,2015-06-14,17.8,1.4,97.1
90,2015-06-15,17.9,1.9,99.6
90,2015-06-16,18.3,1.4,98.9
90,2015-06-17,19.3,1.2,96.3
90,2015-06-18,18.9,2.1,100
90,2015-06-19,17.7,2.1,90
90,2015-06-20,18.2,1.6,86.4
90,2015-06-21,20,2.1,85.4
90,2015-06-22,19.9,1.7,92.4
90,2015-06-23,20.3,2,86.9
90,2015-06-24,20.9,1.7,91.1
90,2015-06-25,20.7,2,96.1
90,2015-06-26,18.5,4.4,100
90,2015-06-27,18.8,2.1,89.8
90,2015-06-28,19.4,2.6,87.9
90,2015-06-29,21.3,2.1,84.6
90,2015-06-30,19.7,1.8,92.4
90,2015-07-01,22,2.6,75.8
90,2015-07-02,22.8,2,59.3
90,2015-07-03,19.9,2.3,83.3
90,2015-07-04,19.5,1.9,83.6
90,2015-07-05,19.7,2.3,86.9
90,2015-07-06,20.2,2.3,87.9
90,2015-07-07,19.5,1.9,88.4
90,2015-07-08,19.2,1.1,98.6
90,2015-07-09,20.1,1.2,95.3
90,2015-07-10,21.3,2.2,93.3
90,2015-07-11,21.9,1.9,96.9
90,2015-07-12,21.3,1.7,100
90,2015-07-13,27.2,3.1,67.5
90,2015-07-14,26.2,2.7,66.5
90,2015-07-15,21.4,2.9,85.8
90,2015-07-16,19.8,3.1,81.5
90,2015-07-17,19.8,2.8,70.8
90,2015-07-18,21.4,1.6,74
90,2015-07-19,20.3,1.7,90.1
90,2015-07-20,20.2,1.1,93.8
90,2015-07-21,20.8,1.3,95.1
90,2015-07-22,21.8,1.6,99.4
90,2015-07-23,23.7,1.5,97.9
90,2015-07-24,23.6,1.3,100
90,2015-07-25,23.1,1.6,100
90,2015-07-26,26.2,1.4,88.4
90,2015-07-27,28.4,1.6,69.4
90,2015-07-28,28.3,1.6,70
90,2015-07-29,25,1.1,89.6
90,2015-07-30,28.9,1.9,72.8
90,2015-07-31,29.4,2.7,65.6
90,2015-08-01,24,1.6,92.4
90,2015-08-02,24.3,1.1,92.3
90,2015-08-03,27.6,1.2,82.6
90,2015-08-04,29.1,1.7,66.1
90,2015-08-05,27.2,1.6,76.6
90,2015-08-06,27.6,1.6,80.5
90,2015-08-07,26,1.3,91.1
90,2015-08-08,25,1.2,91.4
90,2015-08-09,26.8,1.5,76.6
90,2015-08-10,27.3,1.6,72.6
90,2015-08-11,25.7,1.6,83.4
90,2015-08-12,24.3,1.6,86.4
90,2015-08-13,23.7,1.7,85.6
90,2015-08-14,23,1.2,86.4
90,2015-08-15,24.7,1.8,86.6
90,2015-08-16,23.1,1.5,91
90,2015-08-17,23.8,2.4,85.6
90,2015-08-18,24,1.4,84.6
90,2015-08-19,23.6,1.7,86.4
90,2015-08-20,23.8,.9,90.9
90,2015-08-21,23.3,1.1,86.1
90,2015-08-22,23.8,1.3,84.8
90,2015-08-23,24,1.7,85
90,2015-08-24,23.1,3.1,88.5
90,2015-08-25,20.8,8.1,91.1
90,2015-08-26,19.2,3.9,80.5
90,2015-08-27,23.9,1.9,55.8
90,2015-08-28,22.4,1.8,61.3
90,2015-08-29,22.1,1.3,83
90,2015-08-30,21.7,1.4,89.8
90,2015-08-31,21.7,1.1,91.3
90,2015-09-01,21.1,1.8,92.5
90,2015-09-02,21.2,2,89.9
90,2015-09-03,21.6,1.4,82.4
90,2015-09-04,21.5,1.9,88.1
90,2015-09-05,20.1,2.1,90.8
90,2015-09-06,20.2,3.3,81.9
90,2015-09-07,18.8,1.6,81.8
90,2015-09-08,18.1,1.8,76.9
90,2015-09-09,19.3,3,80.1
90,2015-09-10,20.2,1.5,77
90,2015-09-11,19.4,2.1,85.6
90,2015-09-12,16.8,1.7,86.9
90,2015-09-13,17.7,1.5,66
90,2015-09-14,19,1.6,71.8
90,2015-09-15,18,1.7,72.6
90,2015-09-16,17.5,1.3,72.4
90,2015-09-17,18.1,1.8,70.1
90,2015-09-18,18.5,1.9,81.3
90,2015-09-19,18.4,2,80.6
90,2015-09-20,19.3,1.4,88.3
90,2015-09-21,19.6,1.4,88.1
90,2015-09-22,19.5,1.9,87.8
90,2015-09-23,19.1,1.8,88.9
90,2015-09-24,18.9,1.5,85.6
90,2015-09-25,19.3,1.6,85.8
90,2015-09-26,19.1,1.4,87.3
90,2015-09-27,18.8,1.7,80.1
90,2015-09-28,19.5,1.3,55.4
90,2015-09-29,17.9,2,57
90,2015-09-30,17.5,1.8,66.1
90,2015-10-01,16,1.8,80.4
90,2015-10-02,17.3,3.2,32.8
90,2015-10-03,20.8,2.8,32.4
90,2015-10-04,14.4,1.5,41.4
90,2015-10-05,16.5,1.7,58.8
90,2015-10-06,18,1.4,56.4
90,2015-10-07,18.3,1.4,73.5
90,2015-10-08,17.5,1.4,85.4
90,2015-10-09,16.6,2.4,32.6
90,2015-10-10,13.8,2.2,51
90,2015-10-11,11.6,2.4,47.3
90,2015-10-12,13.2,2.2,40
