ÁöÁ¡,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),Æò±Õ Ç³¼Ó(m/s),Æò±Õ »ó´ë½Àµµ(%)
90,2016-01-01,3.6,2.3,44.9
90,2016-01-02,8.4,3.1,50.4
90,2016-01-03,6.7,1.9,80
90,2016-01-04,5.4,2.7,32.6
90,2016-01-05,.6,2.5,16.8
90,2016-01-06,.5,2,36.4
90,2016-01-07,-.4,1.9,28.3
90,2016-01-08,-1.1,2.4,25.1
90,2016-01-09,.1,2.8,32
90,2016-01-10,1.8,2.4,30.1
90,2016-01-11,-2,2.1,30.9
90,2016-01-12,-1.8,2.1,26.6
90,2016-01-13,-2.3,2.7,35.5
90,2016-01-14,-2.9,2.7,33.6
90,2016-01-15,-1.7,1.7,49.4
90,2016-01-16,-.1,1.4,64.5
90,2016-01-17,1.5,1.7,89.9
90,2016-01-18,-2.9,3.2,48.6
90,2016-01-19,-10,3.5,25.4
90,2016-01-20,-6.3,2.4,40.1
90,2016-01-21,-4,2.2,36.5
90,2016-01-22,-3.4,2.2,24.8
90,2016-01-23,-8.3,3.9,16.6
90,2016-01-24,-10.5,2.2,23.3
90,2016-01-25,-6.9,1.5,35.1
90,2016-01-26,-1,3.4,39.4
90,2016-01-27,1.7,3.7,31.6
90,2016-01-28,-.1,1.7,42.8
90,2016-01-29,-.3,2.1,81.9
90,2016-01-30,-.9,1.4,99
90,2016-01-31,-1.9,2,76.3
90,2016-02-01,-3.5,1.6,39.5
90,2016-02-02,-4.1,1.4,44.4
90,2016-02-03,-1.6,1.4,37.1
90,2016-02-04,2.2,2.5,31.3
90,2016-02-05,.3,2.6,26.8
90,2016-02-06,-3.6,1.9,79.8
90,2016-02-07,-1.9,1.5,54.9
90,2016-02-08,1.3,2.4,51.8
90,2016-02-09,1.8,2.6,42.9
90,2016-02-10,1.2,1.5,51.3
90,2016-02-11,2.1,1.2,89.5
90,2016-02-12,2.7,1.4,99
90,2016-02-13,3.6,2.1,99
90,2016-02-14,-.3,2,82.6
90,2016-02-15,-3,2.5,38.9
90,2016-02-16,-.3,2.9,44.9
90,2016-02-17,2.6,2.1,34.1
90,2016-02-18,6.2,2.8,52.9
90,2016-02-19,5.8,2.7,35.6
90,2016-02-20,1.8,2.6,52.6
90,2016-02-21,1.5,2.2,25.1
90,2016-02-22,3,1.6,36.5
90,2016-02-23,3.3,3.5,58.3
90,2016-02-24,-1.5,1.7,89.8
90,2016-02-25,1.2,2.8,41.3
90,2016-02-26,1.7,2.2,42.9
90,2016-02-27,1.9,1.7,68.1
90,2016-02-28,1.2,2,91.3
90,2016-02-29,-1.7,2.3,56.4
90,2016-03-01,-.3,2.1,37
90,2016-03-02,5.8,2.4,48
90,2016-03-03,7.2,2.2,79.1
90,2016-03-04,4.6,2.2,92.8
90,2016-03-05,4.4,1.7,96.8
90,2016-03-06,5.8,1.3,81.5
90,2016-03-07,5.2,1.1,82.9
90,2016-03-08,5.4,1.5,42.9
90,2016-03-09,-.5,2.8,81.6
90,2016-03-10,-.9,2.2,51.9
90,2016-03-11,-.8,1.7,40.9
90,2016-03-12,3.3,1.6,43.1
90,2016-03-13,6.3,1.7,47.5
90,2016-03-14,3.1,1.5,61
90,2016-03-15,6.7,1.8,46.3
90,2016-03-16,13.1,2.6,21.6
90,2016-03-17,12.7,1.9,39
90,2016-03-18,13.3,1.8,59.6
90,2016-03-19,9.1,1.7,66.1
90,2016-03-20,6.4,1.7,71.8
90,2016-03-21,7.8,2,69.1
90,2016-03-22,10.1,1.9,51.5
90,2016-03-23,4.6,1.4,79
90,2016-03-24,5.1,2.1,59.3
90,2016-03-25,4.7,1.6,74.1
90,2016-03-26,6.8,1.3,65.3
90,2016-03-27,9.4,1.5,50.1
90,2016-03-28,14,1.8,27.3
90,2016-03-29,16,3.7,33.3
90,2016-03-30,13.3,2.2,46.6
90,2016-03-31,14.4,2.3,37.3
90,2016-04-01,8.9,2.8,75.4
90,2016-04-02,9.6,1.9,84.3
90,2016-04-03,8.7,1.5,93.5
90,2016-04-04,9,2,84.1
90,2016-04-05,15.8,2.3,36.8
90,2016-04-06,12.6,1.7,70.8
90,2016-04-07,12,1.6,85.6
90,2016-04-08,17.6,2.8,32.8
90,2016-04-09,18.3,3.8,40.8
90,2016-04-10,8.2,2.6,66.8
90,2016-04-11,7.6,2.3,68.6
90,2016-04-12,8.7,1.4,79.8
90,2016-04-13,14.4,1.8,71.8
90,2016-04-14,13.6,1.7,69.1
90,2016-04-15,11.1,3.2,69.1
90,2016-04-16,14,1.8,70.6
90,2016-04-17,14,4.7,54.8
90,2016-04-18,11.9,3.5,55.6
90,2016-04-19,10.9,2.4,73.6
90,2016-04-20,14.7,1.5,54.5
90,2016-04-21,11.4,1.4,97.5
90,2016-04-22,20.3,2.3,43.9
90,2016-04-23,16.3,2,28.8
90,2016-04-24,12.7,1.4,47.4
90,2016-04-25,15.9,2.3,51.1
90,2016-04-26,12.2,4.1,70.9
90,2016-04-27,9.2,2.5,81.9
90,2016-04-28,9.3,1.9,81.9
90,2016-04-29,12.7,1.7,70.3
90,2016-04-30,17.2,2.9,62.4
90,2016-05-01,13.9,2.6,78.3
90,2016-05-02,13,1.6,87.5
90,2016-05-03,14.4,3.2,73.5
90,2016-05-04,16.9,6.6,39.8
90,2016-05-05,18.2,3.1,39.5
90,2016-05-06,13.6,1.9,80
90,2016-05-07,18,2,49.9
90,2016-05-08,15.6,1.4,70
90,2016-05-09,15.5,1.3,74.4
90,2016-05-10,11.5,3.3,95.8
90,2016-05-11,13.1,2.5,76.5
90,2016-05-12,19.3,2.2,54
90,2016-05-13,15.5,2.9,57
90,2016-05-14,13.1,2,80.9
90,2016-05-15,12.9,2.2,89.4
90,2016-05-16,18.7,3.3,40
90,2016-05-17,21.3,1.9,38
90,2016-05-18,21.2,2,46.6
90,2016-05-19,19.3,1.6,61
90,2016-05-20,13.4,1.3,91.8
90,2016-05-21,15.9,1.5,75
90,2016-05-22,16.6,1.2,79.5
90,2016-05-23,17,1.3,89.3
90,2016-05-24,18.3,1.8,73.8
90,2016-05-25,22.3,2.5,51.8
90,2016-05-26,21.8,1.9,58.1
90,2016-05-27,19.3,1.6,70.3
90,2016-05-28,22.5,2,52.9
90,2016-05-29,21.5,1.2,52.8
90,2016-05-30,17.3,2.9,80.8
90,2016-05-31,21.8,1.9,55.8
90,2016-06-01,17.8,1.5,77.4
90,2016-06-02,18.7,2.1,63.6
90,2016-06-03,23.9,2.2,53.8
90,2016-06-04,21.2,1.4,60.1
90,2016-06-05,16.9,3.1,85.3
90,2016-06-06,18,1.5,84.6
90,2016-06-07,18.9,1.6,89.3
90,2016-06-08,19.3,1.8,92.6
90,2016-06-09,19.1,1.9,91.8
90,2016-06-10,19.5,2,87.5
90,2016-06-11,22.9,1.3,76.6
90,2016-06-12,21.9,2.2,85.4
90,2016-06-13,18.6,2.4,89.9
90,2016-06-14,18.2,1.6,92.9
90,2016-06-15,19,1.2,98
90,2016-06-16,21.7,2.2,77.5
90,2016-06-17,26.5,1.9,49.3
90,2016-06-18,24.4,1.7,68.3
90,2016-06-19,19.4,2.6,89
90,2016-06-20,20.6,1.6,88.6
90,2016-06-21,20.6,1.9,88.9
90,2016-06-22,19.4,1.1,97.9
90,2016-06-23,20.9,1.5,92
90,2016-06-24,19.3,1.8,96.4
90,2016-06-25,22.8,2.3,59.8
90,2016-06-26,23.9,1.6,62.1
90,2016-06-27,21.6,.9,78.9
90,2016-06-28,19.9,1.5,90
90,2016-06-29,21.1,1.3,89.9
90,2016-06-30,22.2,1.4,89.3
90,2016-07-01,22.6,1.2,88
90,2016-07-02,22.7,2.2,84.1
90,2016-07-03,23.9,1.1,78
90,2016-07-04,20.2,1.2,96.5
90,2016-07-05,19.1,2.5,97.6
90,2016-07-06,18.1,1.3,95.8
90,2016-07-07,19.5,1.3,92.1
90,2016-07-08,21.2,1.2,92.9
90,2016-07-09,23.1,1.1,88.8
90,2016-07-10,24.3,1,85.3
90,2016-07-11,23.1,1.1,94.5
90,2016-07-12,23.1,1.7,94.8
90,2016-07-13,22.6,1.1,96.4
90,2016-07-14,24.2,1.2,82.3
90,2016-07-15,23.8,1.2,76.9
90,2016-07-16,19.9,2.2,96.5
90,2016-07-17,20.3,1.6,96.3
90,2016-07-18,21.6,1.5,92.4
90,2016-07-19,22.2,1.3,90.5
90,2016-07-20,22,1.1,90.5
90,2016-07-21,21.8,1.2,92.5
90,2016-07-22,23,1.6,87.4
90,2016-07-23,22.4,.9,92.4
90,2016-07-24,22.1,1.2,94.8
90,2016-07-25,22.8,1.2,95.6
90,2016-07-26,24.2,1.3,93.4
90,2016-07-27,27.1,1.1,76
90,2016-07-28,27.2,1.3,82.5
90,2016-07-29,27.9,1.5,71.9
90,2016-07-30,28.1,1.1,82.8
90,2016-07-31,26.4,1.2,91.6
90,2016-08-01,26,1.2,90.9
90,2016-08-02,26.1,1.2,90.4
90,2016-08-03,26.3,1.3,88.3
90,2016-08-04,26.1,1.3,85.1
90,2016-08-05,25.7,1.3,85.8
90,2016-08-06,25.7,1.2,82.5
90,2016-08-07,28.4,1.2,79.6
90,2016-08-08,25.4,1.8,88.1
90,2016-08-09,25.2,1.4,80.4
90,2016-08-10,26.7,1.1,83.1
90,2016-08-11,28.5,.9,78
90,2016-08-12,28.6,.9,78.3
90,2016-08-13,30.5,1,72.6
90,2016-08-14,28.8,.6,83.3
90,2016-08-15,28.3,1.3,83.1
90,2016-08-16,25.9,1.4,86.3
90,2016-08-17,26.7,1.5,82.9
90,2016-08-18,27.1,1.7,84.3
90,2016-08-19,26.7,1.2,89.3
90,2016-08-20,27,1.3,87
90,2016-08-21,25.9,1.2,86
90,2016-08-22,26.4,1.5,83.1
90,2016-08-23,26.2,1.9,81.1
90,2016-08-24,25.6,1.2,81.9
90,2016-08-25,25.8,1.7,83.4
90,2016-08-26,19.6,2.5,75.3
90,2016-08-27,21.8,2.1,66.1
90,2016-08-28,19.6,3.7,85.5
90,2016-08-29,19.2,4,78.9
